merchant_id,merchant_name,merchant_category,district,region_tier,onboarded_at,merchant_status
MERC00001,King's Enterprises Budo,utilities,Kampala,Tier 1,2025-08-03,active
MERC00002,Ntare Traders,fuel,Kampala,Tier 1,2025-10-06,active
MERC00003,St. Mary's Enterprises Kisubi,utilities,Kampala,Tier 1,2025-11-25,active
MERC00004,Gayaza High Traders,hospitality,Kampala,Tier 1,2026-01-14,suspended
MERC00005,Namagunga Girls Traders,utilities,Kampala,Tier 1,2025-06-13,active
MERC00006,Nabisunsa Girls Traders,grocery,Kampala,Tier 1,2025-01-07,suspended
MERC00007,Trinity Enterprises Nabbingo,hospitality,Kampala,Tier 1,2025-03-22,active
MERC00008,Seeta High Traders,grocery,Kampala,Tier 2,2025-08-18,active
MERC00009,St. Lawrence Traderss,hospitality,Kampala,Tier 2,2025-12-18,active
MERC00010,Uganda Martyrs High Traders,airtime,Kampala,Tier 2,2025-05-18,active
MERC00011,Makerere Enterprises Traders,hospitality,Kampala,Tier 2,2025-01-30,suspended
MERC00012,Lubiri Secondary Traders,fuel,Kampala,Tier 2,2025-08-01,suspended
MERC00013,St. Mary's Secondary Traders Kitende,grocery,Wakiso,Tier 1,2025-05-06,suspended
MERC00014,Kibuli Secondary Traders,grocery,Wakiso,Tier 1,2025-10-21,suspended
MERC00015,St. Joseph's Secondary Traders Naggalama,utilities,Wakiso,Tier 2,2025-06-02,active
MERC00016,St. Joseph's Secondary Traders Mukono,airtime,Mukono,Tier 2,2025-04-30,active
MERC00017,Uganda Christian University High Traders,hospitality,Mukono,Tier 2,2025-11-05,active
MERC00018,Busoga Enterprises Mwiri,fuel,Jinja,Tier 1,2026-01-02,active
MERC00019,Jinja Secondary Traders,airtime,Jinja,Tier 2,2025-10-27,suspended
MERC00020,Kiira Enterprises Butiki,utilities,Jinja,Tier 2,2026-01-26,active
MERC00021,St. Henry's Enterprises Kitovu,airtime,Masaka,Tier 1,2025-07-26,active
MERC00022,Masaka Secondary Traders,fuel,Masaka,Tier 2,2025-04-16,active
MERC00023,Mbarara High Traders,airtime,Mbarara,Tier 1,2026-01-11,active
MERC00024,Ntare Traders Mbarara,grocery,Mbarara,Tier 1,2025-06-14,active
MERC00025,Gulu High Traders,utilities,Gulu,Tier 2,2025-01-04,active
MERC00026,St. Joseph's Layibi,fuel,Gulu,Tier 2,2026-01-04,active
MERC00027,Lira Town Enterprises,hospitality,Lira,Tier 2,2025-12-19,active
MERC00028,St. Katherine's Secondary Traders,grocery,Lira,Tier 2,2025-01-02,suspended
MERC00029,Mbale Secondary Traders,utilities,Mbale,Tier 2,2025-10-02,active
MERC00030,Nabumali High Traders,hospitality,Mbale,Tier 1,2025-11-27,active
MERC00031,Tororo Girls Traders,utilities,Tororo,Tier 2,2025-02-12,active
MERC00032,St. Peter's Enterprises Tororo,hospitality,Tororo,Tier 2,2025-12-18,active
MERC00033,Arua Public Secondary Traders,utilities,Arua,Tier 2,2025-01-06,suspended
MERC00034,Muni Girls Traders,hospitality,Arua,Tier 2,2026-02-05,active
MERC00035,Fort Portal Secondary Traders,fuel,Fort Portal,Tier 2,2025-10-18,active
MERC00036,St. Leo's Enterprises Fort Portal,grocery,Fort Portal,Tier 2,2025-01-31,active
MERC00037,Hoima Secondary Traders,fuel,Hoima,Tier 2,2025-12-12,suspended
MERC00038,Duhaga Secondary Traders,grocery,Hoima,Tier 2,2025-08-22,active
MERC00039,Kabarole Secondary Traders,fuel,Kabarole,Tier 2,2026-01-24,active
MERC00040,St. Mary's Enterprises Rushoroza,grocery,Kabarole,Tier 2,2025-02-12,active
MERC00041,Soroti Secondary Traders,airtime,Soroti,Tier 2,2025-09-13,active
MERC00042,Ngora High Traders,grocery,Soroti,Tier 2,2025-01-04,active
MERC00043,Iganga Secondary Traders,hospitality,Iganga,Tier 2,2025-09-12,active
MERC00044,Busoga High Traders,grocery,Iganga,Tier 2,2025-08-22,suspended
MERC00045,Kamuli Secondary Traders,hospitality,Kamuli,Tier 2,2025-03-15,active
MERC00046,Namasagali Enterprises,fuel,Kamuli,Tier 1,2025-05-11,active
MERC00047,Pallisa Secondary Traders,fuel,Pallisa,Tier 2,2025-02-16,active
MERC00048,Kumi Secondary Traders,grocery,Kumi,Tier 2,2025-12-08,active
MERC00049,Moroto High Traders,grocery,Moroto,Tier 2,2025-02-05,active
MERC00050,Kotido Secondary Traders,utilities,Kotido,Tier 2,2025-01-13,active
MERC00051,Nebbi Secondary Traders,hospitality,Nebbi,Tier 2,2025-04-28,suspended
MERC00052,Pakwach Secondary Traders,fuel,Nebbi,Tier 2,2025-07-31,active
MERC00053,Kasese Secondary Traders,grocery,Kasese,Tier 2,2025-02-16,active
MERC00054,St. Charles Lwanga Secondary Traders,fuel,Kasese,Tier 2,2025-07-08,active
MERC00055,Bundibugyo Secondary Traders,fuel,Bundibugyo,Tier 2,2026-01-30,active
MERC00056,Kyenjojo Secondary Traders,fuel,Kyenjojo,Tier 2,2025-04-02,suspended
MERC00057,Kiboga Secondary Traders,hospitality,Kiboga,Tier 2,2025-11-30,active
MERC00058,Mityana Secondary Traders,hospitality,Mityana,Tier 2,2025-09-20,active
MERC00059,Mubende Secondary Traders,fuel,Mubende,Tier 2,2026-01-30,active
MERC00060,Kakumiro Secondary Traders,hospitality,Kakumiro,Tier 2,2025-06-27,active
MERC00061,Kibale Secondary Traders,hospitality,Kibale,Tier 2,2025-07-16,suspended
MERC00062,Kyegegwa Secondary Traders,fuel,Kyegegwa,Tier 2,2025-05-11,suspended
MERC00063,Sembabule Secondary Traders,hospitality,Sembabule,Tier 2,2025-05-14,active
MERC00064,Rakai Secondary Traders,grocery,Rakai,Tier 2,2025-05-28,active
MERC00065,Kalangala Secondary Traders,utilities,Kalangala,Tier 2,2025-08-08,active
MERC00066,Bukomansimbi Secondary Traders,utilities,Bukomansimbi,Tier 2,2025-09-08,suspended
MERC00067,Gomba Secondary Traders,utilities,Gomba,Tier 2,2025-04-21,active
MERC00068,Butambala Secondary Traders,grocery,Butambala,Tier 2,2025-11-28,suspended
MERC00069,Mpigi Secondary Traders,utilities,Mpigi,Tier 2,2025-06-24,active
MERC00070,Kalungu Secondary Traders,airtime,Kalungu,Tier 2,2025-08-26,active
MERC00071,Lwengo Secondary Traders,grocery,Lwengo,Tier 2,2025-08-09,active
MERC00072,Lyantonde Secondary Traders,grocery,Lyantonde,Tier 2,2025-11-11,active
MERC00073,Kyotera Secondary Traders,utilities,Kyotera,Tier 2,2025-01-19,active
